K00338 10552611 K00338.02 Kepler-141 b  0.8630 0.842  58.425 0.3729    3.107638730  0.716362951061|0.0703338009902 1019.091279440  0.000000000000  0.00000000000  0.00000000000
K00338 10552611 K00338.01 Kepler-141 c  0.8630 0.842  58.425 0.7433    7.010627450  1.710615416300|0.1830185407680  776.799924327  1.213489183680  2.25593386462 29.95142027240
K00339 10587105 K00339.03               0.9980 1.014  55.942 0.8066   35.865730600  1.840090924470|0.2362382775260  574.447215096  1.813133368180  2.79447773206 31.26412890530
K00339 10587105 K00339.02 Kepler-529 c  0.9980 1.014  55.942 0.6048   12.834502200  1.786175811900|0.2281239570240  808.658686570  1.750693277610  6.48090112195 53.02868718710
K00339 10587105 K00339.01 Kepler-529 b  0.9980 1.014  55.942 0.2652    1.980357663  1.715210743330|0.1402417623030 1508.390161000  0.000000000000  0.00000000000  0.00000000000
K00341 10878263 K00341.01 Kepler-414 c  0.9770 0.932  70.889 0.6267    7.170732075  2.948573729920|0.2933718995700  881.850708190  2.547836405590  1.52580024842 11.85695193110
K00341 10878263 K00341.02 Kepler-414 b  0.9770 0.932  70.889 0.7249    4.699653236  2.147099081260|0.2533260708230 1014.156893600  0.000000000000  0.00000000000  0.00000000000
K00343 10982872 K00343.02 Kepler-142 b  1.0000 1.140  48.454 0.4997    2.024145594  1.812521711880|0.2180707738580 1532.727557370  0.000000000000  0.00000000000  0.00000000000
K00343 10982872 K00343.01 Kepler-142 c  1.0000 1.140  48.454 0.0702    4.761705259  2.549740278010|0.2841381208180 1152.452545320  2.181130994940  2.35245195460 24.88490982940
K00343 10982872 K00343.03 Kepler-142 d  1.0000 1.140  48.454 0.1343   41.808766800  1.311672886140|0.1614658908820  558.823928252  1.930706582080  8.78020888021 59.01443858400
K00351 11442793 K00351.01 Kepler-90 h   1.1230 1.290  68.559 0.5485  331.601108100 12.222585420200|1.5894321759300  304.802084609 10.315105601800  1.57453091416  5.89273647046
K00351 11442793 K00351.02 Kepler-90 g   1.1230 1.290  68.559 0.0154  210.603110500  8.407625783300|1.0869427620800  355.381065282  5.708131102640  1.68595329929  9.36456419628
